Title,Domain,Year,Organization,Keywords,TRL
AI engine and learning method of AI engine,AI,2024,SAMSUNG ELECTRONICS CO LTD,"An artificial intelligence (AI) engine based on an open-radio-network (O-Ran) that learns a plurality of data according to a disclosed embodiment may comprise: a buffer that receives raw data; a pipeline that extracts and learns experience data from the raw data; and a storage that stores a learning result of the pipeline. The pipeline according to one embodiment may comprise: a first simulation engine that processes the first experience data; a second simulation engine that operates, in parallel, with the first simulation engine and processes second experience data; and a trainer that receives the first experience data and the second experience data processed from the first simulation engine and the second simulation engine, learns the received and processed first experience data and second experience data, and generates a policy based on the learning result.",9
AI AI-based book recommendation system,AI,2023,SHOPCAST CO LTD,"An AI-based book recommendation system according to an embodiment of the present invention includes a book storage box; and a central server, wherein the central server includes a memory unit and a control unit. Based on a buyer's preferred genre, books stored in the order of relative proximity between the buyer and a store are recommended.",1
Optimization method of AI accelerator and AI accelerator,AI,2024,"UESTC SHENZHEN ADVANCED RES INSTITUTE,,I4AI LTD,,SHENZHEN HUADA JIUTIAN TECH CO LTD","The invention discloses an optimization method of an AI accelerator and the AI accelerator, relates to the technical field of AI accelerators, and solves the technical problem of long time consumption of an evolutionary algorithm in the existing AI accelerator. The optimization method comprises the following steps: preparing original data, removing abnormal data, labeling to obtain labeled data, and selecting part of the labeled data as a training set; determining a search space of genetic programming, defining a function set and a terminal set, and performing preprocessing, feature extraction, feature splicing, regression and result output on labeled data; defining a fitness function of genetic programming; and based on the function set, the terminal set, the fitness function and the training set, respectively performing population initialization, fitness evaluation, genetic manipulation execution and genetic termination condition judgment, and searching to obtain a target neural network architecture. According to the method, genetic programming is used for performance optimization of the AI accelerator, a neural network architecture with the optimal weight and feature precision is obtained through searching, and the calculation cost is reduced.",9
AI AI OSTEOPOROSIS READING DEVICE AND METHOD,AI,2022,CATHOLIC KWANDONG UNIV IND FOUND,"본 발명은 복수의 골다공증 환자의 투시 이미지가 저장되는 데이터베이스; 의심 환자의 투시 이미지를 측정하는 측정부; 및 상기 데이터베이스에 저장된 투시 이미지에서 골밀도를 측정하는 특정 부위인 판독 범위를 바탕으로 AI 학습을 통해 골다공증 환자의 골밀도에 대한 골밀도 판독 정보를 생성하고, 상기 골밀도 판독 정보와 상기 측정부로부터 수신 받은 의심 환자의 투시 이미지의 골밀도를 비교하여 의심 환자의 골다공증 여부를 판단하는 판단부;를 포함하되, 상기 판독 범위는 투시 이미지의 쇄골 부분을 포함하는 것을 특징으로 하는, AI 골다공증 판독장치를 제공할 수 있다.",9
AI Method for implementing an ethical AI system,AI,2024,MOON MAN KI,"A method for controlling an electronic device according to an embodiment of the present invention may include: a consultation step, in which the electronic device provides a digital human visualized image and a voice of the digital human including at least one query, and obtains a user's response to the query; a measurement step, in which the electronic device obtains measurement values for five measurement items including the user's disposition, virtue, personality, cognitive faculty, and personal environments based on the response; and a classification step, in which the electronic device identifies a type of the user related to tolerance to digital addiction based on the obtained measurement values.",6
AI Feedback-generating AI ROBOT system,AI,2025,KIDARI AZERSI CO LTD,"본 발명은 사용자가 대화 과정에서 피드백을 로봇에 직접 입력하도록 하여 사용자의 대화 집중력를 향상시켜 언어 능력을 향상시킨다. 이에 본 발명의 일 측면에 따른 피드백 생성형 AI 로봇 시스템은 서비스를 이용하도록 하는 로봇 및 상기 서비스를 제어하는 서비스 서버를 포함하고, 상기 서비스는 로봇이 서비스의 만족 여부를 오감 중 어느 하나에 기초하여 입력한다.",7
AI AI robot system for community communication,AI,2025,한양대학교 에리카산학협력단,"본 발명은 종래기술의 문제점을 해결하기 위한 것으로서, 본 발명의 목적은 AI 로봇과 사용자의 대화 과정이나 서비스 제공과정에서 새로운 소통 방식에 대한 사용자 경험을 창출하는데 있다. 이에 본 발명의 일 측면에 따른 커뮤니티 소통을 위한 AI 로봇 시스템은 사용자를 센싱하고 돌봄 제공을 하는 로봇; 상기 로봇과 통신하는 사용자단말; 및 커뮤니티 서비스를 관리하는 서비스 서버;를 포함하고, 상기 로봇은 사용자를 센싱하여 커뮤니티 서비스로 접속시키는 센서부, 사용자의 액티비티 내역을 집계하는 저장부; 및 사용자와 다른 사용자간의 액티비티 순위를 도출하는 제어부;를 포함한다.",6
AI SYSTEM AND OPERATION METHOD OF AI SYSTEM,AI,2021,SEMICONDUCTOR ENERGY LAB,"A system is provided which creates a netlist from a circuit diagram or a document indicating a circuit configuration. This AI system comprises a first electronic device, and the first electronic device comprises an input/output interface, a control unit, and a first conversion unit, wherein the input/output interface is electrically connected to the control unit and the first conversion unit is electrically connected to the control unit. The input/output interface has the function of sending input data generated by user operation to the control unit, and the control unit has the function of sending the input data to the first conversion unit. Here, the input data is a circuit diagram depicting a circuit configuration, or a document file indicating the circuit configuration. The first conversion unit has a circuit configuring a neural network, and the neural network of the first conversion unit is used to convert the input data to a netlist.",9
AI AI INTERACTIVE DOLL BASED ON IoT,AI,2025,최인영,"본 발명의 일 태양에 따르면, 사물 인터넷 기반의 AI 인터랙티브 인형이 제공된다.",9
AI AI AVATAR ACTIVATION METHOD AND APPARATUS,AI,2025,GOODGANGLABS INC,"본 발명의 일 양태는 아바타(avatar)를 활성화시키는 서버 장치를 개시하고 있다. 상기 장치는, 사용자 단말로부터 사용자의 입력 및 상기 사용자 단말의 위치 정보를 수신하는 입력 수신부, 상기 사용자의 입력에 대응하여 아바타가 어플리케이션의 기능을 수행하도록 하기 위한 아바타 에이전트(avatar agent)의 실행을 제어하는 프로세서 및 상기 프로세서에 의해 생성된 아바타의 출력을 상기 사용자 단말로 제공하는 출력 제공부를 포함하되, 상기 프로세서는, 상기 사용자 단말의 위치 정보를 기반으로, 상기 아바타 에이전트의 활성화를 위해 미리 지정된 위치에서의 이벤트에 응답하여, 상기 아바타 에이전트를 활성화시키도록 제어한다.",8
AI model based deployment of an AI model,AI,2025,IBM,"The present disclosure relates to a method comprising: determining a current resource utilization status in a distributed system 203; inputting, to a second artificial intelligence model, the current resource utilization status and an in-use split configuration of a first artificial intelligence model 205, the second artificial intelligence model being configured for predicting a split configuration for the first artificial intelligence model; receiving an output from the second artificial intelligence, the output indicating a current split configuration for the first artificial intelligence model 206; splitting the first artificial intelligence model using the current split configuration 207; deploying the split first artificial intelligence model such that the input and output blocks may be executed on one or more first computer systems of the set of first computer systems and such that the intermediate block may be executed on a second computer system of the at least one second computer system 208; executing the workload 209. The first AI model may be a distributed deep neural network.",5
"METHOD FOR SHARING RESOURCE, METHOD FOR CREATING SERVICE, ELECTRONIC DEVICE, AND STORAGE MEDIUM",AI,2023,BEIJING BAIDU NETCOM SCI & TECH CO LTD,"A method for sharing a resource, includes: generating, by a first AI node, an association relation between the first AI node and at least one other AI node, in which the association relation is configured to generate an AI federal network; receiving, by the first AI node, resource sharing information; determining, by the first AI node, a target AI node of sharing resources with the first AI node based on the resource sharing information; determining, by the first AI node, a target resource to be shared based on the resource sharing information; and sharing, by the first AI node, the target resource with the target AI node through the AI federal network. Therefore, AI nodes realize resource sharing through the AI federal network, which is suitable for resource sharing scenarios of multiple different AI nodes and has good scalability, thereby greatly reducing the development difficulty and cost of resource sharing.",1
MODEL MATCHING METHOD AND COMMUNICATION DEVICE,AI,2024,HUAWEI TECH CO LTD,"Embodiments of the present application provide a model matching method and a communication device. The method comprises: receiving an identifier of a first artificial intelligence (AI) model from a first communication device; and on the basis of the identifier of the first AI model, determining whether a second AI model is deployed in a second communication device, wherein the second AI model is an AI model matching the first AI model. In this way, by performing interaction of an identifier of an AI model, an AI model matching the AI model can be determined on the basis of the identifier of the AI model.",6
Model matching method and communication device,AI,2024,HUAWEI TECH CO LTD,"The embodiment of the invention provides a model matching method and a communication device. The method comprises the following steps: receiving an identifier of a first artificial intelligence (AI) model from a first communication device; and determining whether the second communication device deploys a second AI model based on the identifier of the first AI model, the second AI model being an AI model matching the first AI model. Therefore, the AI model matched with the AI model can be determined based on the identification of the AI model by interacting the identification of the AI model.",6
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING MODELS MANAGEMENT AND/OR TRAINING,AI,2024,SAMSUNG ELECTRONICS CO LTD,"The disclosure relates to a 5G or 6G communication system for supporting a higher data transmission rate. A UE transmits information on at least one first artificial intelligence (AI) / machine learning (ML) model, wherein the information on the at least one first AI/ML model includes a list of AI/ML models, and wherein an AI/ML model included in the list of AI/ML models is identified by a first AI/ML model identifier (ID), receives at least one AI/ML model information indicating at least one AI/ML model to be activated, wherein the at least one AI/ML model to be activated is identified by a second AI/ML model ID; and activates the indicated at least one AI/ML model based on the received at least one AI/ML model information.",6
Service interface configuration method and device combining RPA and AI,AI,2022,"BEIJING LAIALSO NETWORK SCIENCE AND TECH LIMITED COMPANY,,LIKEE SCIENCE AND TECH BEIJING LIMITED COMPANY","The invention discloses a configuration method and device of a service interface combining RPA and AI. The configuration method comprises the following steps: an RPA system obtains an AI service demand of a to-be-configured AI service interface; the RPA system splits the AI service demand to generate a plurality of sub-AI service demands of a single category; the RPA system identifies the incidence relation between the sub-AI service requirements; and the RPA system configures the AI service interface based on the sub-AI service interface and the association relationship corresponding to each sub-AI service demand. Therefore, the RPA system can automatically configure the AI service interface based on the association relationship between the sub-AI service requirements, is suitable for the application scene of the AI service interface with multiple types of AI service requirements, is better in expansibility, and improves the development efficiency of the AI service interface.",6
"AI data transmission method and device, equipment and storage medium",AI,2024,OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD,"The invention discloses an AI data transmission method and device, equipment and a storage medium, and relates to the technical field of communication. The method is executed by a first communication device, the first communication device comprises a first AI function entity, and the method comprises the steps that the first AI function entity and an AI function network element execute an interaction process used for AI data transmission; wherein the AI function network element is a network element used for AI function management in a mobile communication system, the AI function management comprises control management on AI data transmission, and the AI data is data related to an AI enabling function. According to the method provided by the embodiment of the invention, the normal use of the AI function in the mobile communication system is ensured, so that the mobile communication system can improve the system performance based on the AI function.",3
AI task execution acceleration method and device based on AI processor board card task scheduling,AI,2024,INST COMPUTING TECH CAS,"The invention provides an AI task execution acceleration method and device based on AI processor board card task scheduling, and the method comprises the steps: obtaining a to-be-executed AI task, and adding a scheduling strategy configuration parameter in the AI task; an AI computing platform with a plurality of AI processor board cards determines IDs of the AI processor board cards executing the AI task according to the scheduling strategy configuration parameters; and running the AI task on an AI processor board card corresponding to the AI processor board card ID to obtain an execution result of the AI task. Therefore, the effect of utilizing the AI processor more efficiently can be achieved; in the scheduling mechanism, a user can flexibly set a scheduling strategy in a configuration file; the scheduling strategies comprise the minimum memory occupation priority, the minimum calculation utilization rate priority and the intelligent scheduling strategy.",4
AI Method for processing AI operation on input image and camera device using the same,AI,2023,HANWHA VISION CO LTD,"According to the present invention, a camera device comprises: an image sensor which captures an image from a subject; an AI application which requests an AI operation on the captured image and performs video analysis on the captured image using an AI processing result according to the request; a plurality of AI sources embedded in the camera device; an NPU controller which monitors current resources of the plurality of AI sources according to the AI operation request and allows at least some of the plurality of AI sources to process AI operations according to the priorities of the plurality of AI sources; and an NPU driver which transmits the request for the AI operation and the processed result of the AI operation between the AI application and the NPU controller and converts commands between the AI application and the NPU controller to be compatible. Accordingly, low cost and high efficiency of AI operation processing can be achieved.",4
DISTRIBUTED TRAINING OF SYSTEMS FOR MEDICAL IMAGE ANALYSIS,AI,2021,REMIDIO INNOVATIVE SOLUTIONS PVT LTD,"The present subject matter provides systems and methods for distributed training of artificial intelligence (AI) systems for medical image analysis. The systems allow for offline prediction of abnormalities of medical images on a local AI system associated with an imaging device (102). In one example, the local AI system (100) extracts image parameters from the analyzed medical images and sends it to a global AI system (120) for training a global AI model. In another example, the local AI system (100) retrains a previously trained local AI model based on the image parameters to obtain a local AI model. Model parameters are extracted from the local AI model and are sent to the global AI system to retrain a global AI model. The retrained global AI model is deployed back to the local AI system (100) for updating the local AI model.",8
28 Ai Hunmingungum 28 Ai Keybord,AI,2025,오영범,"훈민정음 28 Ai자판. 훈민정음 28자를 복원하기 위해 IT기기, 스마트폰에 적용 할 수 있는 훈민정음 28 Ai자판을 고안, 설계하였다. 본 훈민정음 창제 취지대로 모든 언어, 모든 소리를 기록하는데 필요한 곳과 외국인 언어 사용자들이 활용하다 보면, 모든 사람들이 능숙히 사용하고 본 고안 발명이후에 더 발전된 기술과 활용 방법들이 만들어 질 것이다. 천부경의 천부인 원리를 ·ㅡㅣ천지인과 발음기관을 본떠 창제된 훈민정음 28자는, 모든 소리를 나타내는 소리글자로 세계최고의 발명품인 소리문자로 만들어졌으나, 24자로 축소되어 소리 체계가 말살되었다. 이에 다른 언어와 소리를 발음하고 문자화하지 못하게 되었다. 기본 원리가 삭제되어서 무궁한 변화가 전자키판에 부적합화되었다. 훈민정음 28자를 복원하여 훈민정음 28 Ai자판을 만들었다. 본 발명고안의 기본은 훈민정음 창제원리와 연계된 자음들의 순서를 기본으로 복원 한 것이며, 천부경의 순환논리에 따른 9칸에 배열하여 5손가락 각각의 인체공학적인 특성과 가장 잘 사용 할 수 있는 검지, 중지를 기준으로 하여 빠르고 능숙하게 타자하며, 키타 손가락이 위치한 자판의 기능에 따라 각 손가락이 맺치하여서, 항상 다섯 손가락 사용을 인지하고 능숙하게 사용하게 한 것이다. 아래아의 이동하는 점을 타자하기 위한키, JPEGutm00038.jpg629와 시계판의 시점을 표시하는 점을 시계판을 터치하여서 이동시키는 키등과 각종 앱 전환키를 가지고 있다. 시계판이 상시 시침과 분침, 초침, 알람침등이 작동하여 시계 역활을 한다. 같은 칸의 같은 자를 두번누르면 같은 칸의 다음자로 바뀌어서 글자의 종성자와 다음자의 초성자를 타자 할 때 반드시 오기가 일어나는 현상을 수정한 설계로 오타가 발생하지 않도록 했다. 훈민정음 28자를 알파벳과 숫자와 같이 배열한 것은 같은 화면에서 한글과 영어, 숫자를 같이 쓸 수 있는 편리한 방법인 동시에 이중언어를 양방향 동시통역과 글자로 소통 할 수 있고, 즉석에서 혼용문을 작성 할 수 있다. 화면위에 글자를 타자 할 수 있고, 양방향 소통을 하는 인공지능 Ai의 방법으로 최초 출원이다. 모음 ·ㅡㅣ천지인과 자음을 9칸에 4자씩 배열하여서 훈민정음 28자를 모두 안정적인 배치를 하였다. 한칸에 4자씩 두어서 펄스 신호를 생성하는 것과 9칸에 배열한 최초 고안 설계 출원이다. 숫자는 1~9까지는 3자씩 3칸에 두고, 10과 0은 1칸에 두었다. 알파벳은 1칸에 4자씩 배치하였다. 주위에 독립적인 콘트롤러의 기능키와 멀티앱키들을 배치하였다. 이는 훈민정음 창제 이래 훈민정음 창제 원리에 따라서 28자를 인체공학적으로 배열한 자판을, IT(스마트폰)에 탑재하는 콘트롤러(운영체계기)로 결합하고 Ai시스템을 구축한 고안설계인 최초, 훈민정음 28 Ai 자판이다. 각 칸들이 독립된 자판 설계로 양방향 소통이 가능하게 한 활자 생성 기술이다. 복사, 삽입(C, In)은 메모나, 메세지, 카톡, 사진, 그림등과 각종 인터넷 매채 앱 유튜브, 쇼핑몰, 네비게이션, LBS, GPP(공간사진지도) 등 다양한 앱상이나 매개몰 등에서 즉시 복사하고, 이를 원하는 지점에 삽입(동일화면, 다른화면으로 이동)할 수 있는 새로운 멀티키 기능이다. Ai Voice키는 활자 자판에 동시 배치한 최초 Ai 음성키로서 터치하여 실행하고, 음성으로 명령하고 음성으로 응답한다. 같은 동일 화면상에서 양방향 음성콘트롤이 가능하게 하는 기능이다.",5
AI AI OSTEOPOROSIS READING DEVICE AND METHOD,AI,2022,CATHOLIC KWANDONG UNIV IND FOUND,"본 발명은 복수의 골다공증 환자의 투시 이미지가 저장되는 데이터베이스; 의심 환자의 투시 이미지를 측정하는 측정부; 및 상기 데이터베이스에 저장된 투시 이미지에서 골밀도를 측정하는 특정 부위인 판독 범위를 바탕으로 AI 학습을 통해 골다공증 환자의 골밀도에 대한 골밀도 판독 정보를 생성하고, 상기 골밀도 판독 정보와 상기 측정부로부터 수신 받은 의심 환자의 투시 이미지의 골밀도를 비교하여 의심 환자의 골다공증 여부를 판단하는 판단부;를 포함하되, 상기 판독 범위는 투시 이미지의 치아 부분을 포함하는 것을 특징으로 하는, AI 골다공증 판독장치를 제공할 수 있다.",2
AI AI model inference method and apparatus,AI,2024,FOUNDATION SOONGSIL UNIV INDUSTRY COOPERATION,"The present invention provides an AI model inference apparatus and method. An embodiment of the present invention provides an AI model inference device comprising: a processor; and a memory connected to the processor. The memory stores program instructions executed by the processor to: determine, by using an output value of a target model, whether the environment of the target model corresponds to a gray box or a black box; obtain output values by inputting the same data as the target model to a plurality of AI models included in a candidate model group; process the output value of each of the plurality of AI models differently depending on the environment of the target model to obtain a first feature or a second feature; and input the output value of each of the plurality of AI models and the first feature or the second feature thereof to a pre-trained model type classifier to determine an AI model corresponding to the target model. The security of an AI model can be enhanced.",1
AI SYSTEM FOR CAREER COUNSELING AI CHATBOT,AI,2021,CATHOLIC UNIV KOREA IND ACADEMIC COOPERATION FOUNDATION,"The present invention relates to an AI chatbot system for career counseling. According to the present invention, the AI chatbot system for career counseling includes: an input part receiving a word or representative keyword from a user; a determination part determining whether the input is the received word or representative keyword; and an answer providing part, when the input by the user is determined as the representative keyword, providing a corresponding lower menu or a corresponding answer, and, when the input by the user is determined as a word excluding the representative keyword, providing an answer which is the closest to the word. According to an embodiment of the present invention, a learning data set for career counseling can be built, and a data set-based AI chatbot service having a higher quality through relearning can be commercialized. Moreover, issues of universities or institutions which cannot provide a career counseling service due to a lack of labor costs for counseling staff, can be solved.",8
AI MODEL BASED DEPLOYMENT OF AN AI MODEL,AI,2025,IBM,"A method, computer system, and a computer program product for executing workloads in a distributed system is provided. The present invention may include: determining a current resource utilization status in a distributed system; inputting, to a second AI model, the current resource utilization status and an in-use split configuration of a first AI model, the second AI model configured for predicting a split configuration for the first AI model; receiving an output from the second AI, the output indicating a current split configuration for the first AI model; splitting the first AI model using the current split configuration; deploying the split first AI model such that the input and output blocks may be executed on first computer systems of the set of first computer systems and such that the intermediate block may be executed on a second computer system of the at least one second computer system; executing the workload.",2
"Data processing method and system, AI management device and storage medium",AI,2024,BEIJING XIAOMI MOBILE SOFTWARE CO LTD,"The invention discloses a data processing method and system, an AI management device and a storage medium. The method comprises: an AI management device determining an AI processing task (S201), the AI management device accessing a core network, the AI management device being connected to a plurality of AI service devices, the plurality of AI service devices comprising AI service devices using different AI algorithms; the AI management device determines a target service device from the plurality of AI service devices and allocates the AI processing task to the target service device (S202); the AI management device obtains a task processing result of the target service device (S203); and the AI management device sends an AI service result to a destination end according to the task processing result, the destination end comprising a network element in the core network or a terminal accessing the core network (S204).",2
SYSTEM AND METHOD FOR OPERATING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING MODEL,AI,2021,KOREA ELECTRONICS TECHNOLOGY,"The present invention relates to a method for operating an artificial intelligence and machine learning (AI/ML) model in a federated learning (FL) client including an AI/ML service process unit, a local AI/ML model storage and an FL process unit. An embodiment of the present invention comprises the steps of: the AI/ML service process unit requesting the download of an AI/ML model from the AI/ML model storage; storing the AI/ML model in the local AI/ML model storage after the AI/ML model is downloaded in response to the request of download; the AI/ML service process unit reading and storing the AI/ML model from the local AI/ML model storage to provide a service; the FL process unit determining whether or not performance conditions for federated learning are satisfied; reading and storing the AI/ML model from the local AI/ML model storage to perform federated learning as the performance conditions for FL are satisfied; and providing, to an FL server, the AI/ML model renewed as the performance of the federated learning is finished. Therefore, provided are a system and a method for operating an AI/ML model wherein an AI/ML service and an FL service can be operated efficiently.",7
TRUSTWORTHY LEVEL CONTROL OF AI/ML MODELS TRAINED IN WIRELESS NETWORKS,AI,2024,APPLE INC,"An artificial intelligence (AI) agent configured to collect a dataset for training an AI or machine learning (ML) (AI/ML) model, train the AI/ML model with the collected dataset, determine whether the trained AI/ML model is trustworthy, wherein the determining is performed by evaluating one or more metrics related to a trustworthy level for the AI/ML model trained by the AI agent and determine, based on the determining whether the trained AI/ML model is trustworthy, whether to report the trained AI/ML model to an AI manager.",7
DEPLOYING ARTIFICIAL INTELLIGENCE (AI) MODELS AT LOCAL SITES,AI,2024,IBM,"Provided are techniques for deploying AI models at local sites. A selection of an Artificial Intelligence (AI) model template is received at a local site, where the AI model template is created at a remote site and is packaged in a transportable container. The AI model template in the transportable container is retrieved. A lifecycle of an AI model is orchestrated by: instantiating an AI model from the AI model template, retrieving data from one or more local data sources, training the AI model using the data, deploying the AI model as a service, monitoring the AI model for drift, and, in response to identifying drift, re-training the AI model.",6
"Package deployment method, system and device for distributed AI application and storage medium",AI,2022,SUZHOU INSPUR INTELLIGENT TECH CO LTD,"The invention discloses a packaging deployment method, system and device for a distributed AI application and a storage medium, and is applied to the technical field of distributed clusters, and the method comprises the steps: judging whether an application mirror image of the AI application starts to be constructed from a model file according to a packaging configuration file of the AI application; if yes, constructing an application mirror image of the AI application based on an operation framework of the AI application; otherwise, acquiring an application mirror image of the AI application; judging whether the dependent mirror image of the AI application is automatically discovered or not according to the packaging configuration file; if yes, starting the container cluster to run the AI application, and downloading each dependent mirror image of the AI application; otherwise, obtaining each dependent mirror image of the AI application; packaging the application mirror image of the AI application, each dependent mirror image and the deployment file into an AI application package; and based on the AI application package, migrating the AI application to the target cluster and running the AI application. By applying the scheme provided by the invention, the packaging deployment of the distributed AI application can be conveniently and efficiently realized.",1
Course generation method and device and course display method and device,AI,2022,SHANGHAI COMMERCIAL SOUP INTELLIGENT SCIENCE AND TECH LIMITED COMPANY,"The invention provides a course generation method and device and a course display method and device, and the method comprises the steps: responding to a card selection operation, and selecting a target AI experience card matched with a target AI course from at least one pre-configured AI experience card; wherein each AI experience card corresponds to an AI application program, and the AI application program is used for calling a neural network corresponding to the AI experience card to carry out data processing; inserting the target AI experience card into the course content of the target AI course; and in response to a course publishing operation, publishing a target AI course including the target AI experience card.",1
"USING ARTIFICIAL INTELLIGENCE (""AI "") TO CUSTOMIZE CALL CENTER QUESTIONS FOR USE WITH CUSTOMER AUTHENTICATION TECHNIQUES",AI,2025,BANK OF AMERICA,Systems and methods for supporting artificial intelligence (“AI”) customer service interactions between a customer service agent operating on an AI platform at a call center and a customer using an AI customer device are provided. Methods may include activating an AI session between the customer service agent and the customer. Methods may include authenticating the AI session between the customer service agent and the customer. Methods may include receiving a selection of AI questions from the AI platform and receiving answers to those AI questions via the AI customer device. Methods may include processing a co-browsing AI session request. Methods may include initiating the AI session between the customer service agent and the customer based on authentication of the answers to the AI questions.,9
DATA EXCHANGE CHIP AND SERVER,AI,2022,HUAWEI TECH CO LTD,"This application provides an artificial intelligence switch (AI switch) chip and a server, where the AI switch chip includes a first AI interface, a first network interface, and a controller. The first AI interface is used by the AI switch chip to connect to a first AI chip in a first server, and the first AI chip is any one of a plurality of AI chips in the first server. The first network interface is used by the AI switch chip to connect to a second server. The controller receives, through the first AI interface, data sent by the first AI chip, and then sends the data to the second server through the first network interface. By using the AI switch chip, when a server needs to send data in an AI chip to another server, an AI interface may be used to directly receive the data sent by the AI chip, and then the data is sent to the another server through one or more network interfaces connected to the controller. This brings about a shorter delay of data transmission from an AI chip in a server to another server, and higher efficiency.",3
AI Feedback-generating AI ROBOT system,AI,2025,KIDARI AZERSI CO LTD,"본 발명의 일 측면에 따른 메타버스 로딩 AI 로봇 시스템은 메타버스 서비스 내용이 출력되고 선택 데이터를 입력하는 로봇; 및 상기 로봇에 의해 메타버스 서비스가 이용하도록 서비스를 제어하는 서비스 서버;을 포함하고, 상기 로봇은 가상 여행지를 선택하고 상기 서비스 서버는 복수개의 다른 사용자를 같은 가상 여행지에 출력하여 교육을 수행한다.",5
AI AI Flame Tracking Fire Extinguisher,AI,2023,"MOON BEYOUNG CHEUL,,BONG JUNG RAE","The present invention relates to an AI flame tracking fire extinguisher, which can rapidly suppress a fire at an early stage, comprising: a tracking spray body; a tank coupling unit; a fire detection unit; a tank connector; a discharge driving unit; a body rotation unit; a fire extinguishing fluid nozzle; a fire extinguishing fluid supply pipe; a nozzle upper/lower rotation unit; a control unit; a control unit; and a power unit.",6
AI AI BASED FISH FINDER SYSTEM,AI,2023,RIAN CO LTD,"The present invention relates to an AI-based fish detection system. An objective to be solved is to label fish images using an artificial intelligence model previously trained using various fish images as learning data and classify the fish images by fish species so that the fish images can be easily applied to existing fish detection software. For example, an AI-based fish detection system is disclosed, wherein the AI-based fish detection system comprises: a fish image collection module which collects fish images taken through web crawling or optical means installed on a fishing boat; an artificial intelligence analysis module which labels the fish images by fish species, performs learning on the labeled fish images through an artificial intelligence learning model, and then generates a weight file; and a software integration module which integrates the generated weight file into preset fish detection software.",9
AI SYSTEM AND OPERATION METHOD OF AI SYSTEM,AI,2022,SEMICONDUCTOR ENERGY LAB,"A system that creates a net list from a circuit diagram or a document showing a circuit structure is provided. The system is an AI system including a first electronic device. The first electronic device includes an input/output interface, a control portion, and a first conversion portion. The input/output interface is electrically connected to the control portion, and the first conversion portion is electrically connected to the control portion. The input/output interface has a function of transmitting input data generated by a user's operation to the control portion, and the control portion has a function of transmitting the input data to the first conversion portion. Note that the input data is a circuit diagram illustrating a circuit structure or a document file showing the circuit structure. The first conversion portion includes a circuit where a neural network is formed, and the input data is converted to a net list with the use of the neural network of the first conversion portion.",9
PROCESS FOR INCREASING THE INTESTINAL BIOVAILABILITY OF POLYPHENOLS IN A PLANT FOOD MATRIX WITH A HIGH POLYPHENOL CONTENT,biotech,2022,NGN HEALTHCARE NEW GENERATION NUTRACEUTICALS S R L,"The present invention describes a process for the production of a polyphenol-rich, highly intestinal bioavailability freeze-dried product (BioTech) from a polyphenol-rich plant matrix, preferably PGI Annurca Campana apples, subjected to incubation with a food-grade chemical/enzymatic treatment to promote pectin degradation. The subject of the invention is also a food/nutraceutical supplement comprising the BioTech freeze-dried product and its use as an antioxidant, anti-inflammatory and lipid-lowering agent.",2
COMPOSITIONS AND METHODS FOR AN IL-17 TARGET ENGAGEMENT ASSAY WITH SMALL MOLECULE MODULATORS,biotech,2022,JANSSEN PHARMACEUTICA NV,Methods to measure free IL-17 in a sample comprising IL-17 and a small molecule modulator of IL-17.,9
SENSOR FITTING FOR BIOTECH PROCESS BAG,biotech,2020,PENDOTECH,"A fluid process application bag includes a flexible film body having an opening, a port plate sealed around the opening of the flexible film body, a sensor fitting and a sensor contained within the sensor fitting. The port plate has a receptacle defining a passage in fluid communication with an interior of the flexible film body and the sensor fitting has a body portion seated within the passage of the receptacle and is coupled to the receptacle. The sensor has at least one probe communicating with the interior of the flexible film body. A collar includes first and second semi-circular members that are connected via a living hinge.",9
INDUSTRIAL WASHER WITH EXHAUST SYSTEM,biotech,2023,GETINGE LANCER SAS,"An exhaust system for an industrial washer is proposed. The exhaust system comprises a conduit (101) that can be coupled to an exhaust air outlet (24) of a washer (1). A condenser (107) is coupled to the conduit (101) and configured to cool and to extract humidity from the exhaust air. A filter housing (103) with removable filter is connected to the condenser (107) and configured to filter said exhaust air. A fan (102) with an exhaust outlet is connected to the filter housing (103). A controller (30) is configured to control at least the fan (102) to extract the exhaust air from the washer outlet (24) through the conduit, condenser and filter housing and to eject dried and cooled exhaust air from said exhaust outlet (1021). By reducing the humidity and temperature of the exhaust air, the condenser improves the efficacy and lifetime of the filter. The effective and reliable removal of contamination is thus ensured while the need to further process the waste air is obviated.",4
SENSOR FITTING FOR BIOTECH PROCESS BAG,biotech,2023,PENDOTECH,,4
SENSOR FITTING FOR BIOTECH PROCESS BAG,biotech,2021,PENDOTECH,"A fluid process application bag includes a flexible film body having an opening, a port plate sealed around the opening of the flexible film body, a sensor fitting and a sensor contained within the sensor fitting. The port plate has a receptacle defining a passage in fluid communication with an interior of the flexible film body and the sensor fitting has a body portion seated within the passage of the receptacle and is coupled to the receptacle. The sensor has at least one probe communicating with the interior of the flexible film body. A collar includes first and second semi-circular members that are connected via a living hinge.",8
